#,category_id,name,name_si,name_ta,sku,description,short_description,price,cost,package,availability,image,status,is_featured,is_new,is_sale,slug,is_deal,old_price
1,404,Carrot 250g,Carrot 250g,Carrot 250g,Carrot,NULL,NULL,64.75,65.25,1,1,/products-images/c/a/carrot.jpg,1,1,0,0,carrot.html,1,72.5
2,404,Green Beans 250g,Green Beans 250g,Green Beans 250g,Green Beans,NULL,NULL,42.25,45,2,1,/products-images/g/r/green_bean.jpg,1,1,0,0,green-beans.html,1,50
3,406,kochi miris 250g,kochi miris 250g,kochi miris 250g,Kochi miris,NULL,NULL,300,225,3,1,/products-images/new-images/kochi_miris.jpg,1,0,0,0,kochi-miris.html,0,0
4,404,Lemon 250g,Lemon 250g,Lemon 250g,Lemon,NULL,NULL,469,375,4,1,/products-images/new-images/lemon.jpg,1,0,0,0,lemon.html,0,0
5,406,Chow chow 250g,Chow chow 250g,Chow chow 250g,Chow chow,NULL,NULL,25,25,5,1,/products-images/c/h/chow_chow.jpg,1,0,0,0,chow-chow.html,0,0
6,406,Del (breadfruit) ,Del (breadfruit) ,Del (breadfruit) ,Del (breadfruit),NULL,NULL,180,160,6,1,/products-images/d/e/del.jpg,1,0,0,0,del-breadfruit.html,0,0
7,407,Salad cucumber 250g,Salad cucumber 250g,Salad cucumber 250g,Salad cucumber,NULL,NULL,100,75,7,1,/products-images/s/a/salad_cucumber.jpg,1,0,0,0,salad-cucumber.html,0,0
8,406,Tamarind 50g,Tamarind 50g,Tamarind 50g,Tamarind 50g,NULL,NULL,42,21,8,0,/products-images/t/a/tamarind.jpg,1,0,0,0,tamarind-50g.html,0,0
9,406,Ambarella 250g,Ambarella 250g,Ambarella 250g,Ambarella,NULL,NULL,41.25,32.5,9,1,/products-images/a/m/ambarella.jpg,1,0,0,0,ambarella.html,0,0
10,405,Ash Plantain 250g,Ash Plantain 250g,Ash Plantain 250g,Ash Plantain,NULL,NULL,35,27.5,10,1,/products-images/a/s/ash_plantain.jpg,1,0,0,0,ash-plantain.html,0,0
11,406,Avara (broad beans) 250g,Avara (broad beans) 250g,Avara (broad beans) 250g,Avara,NULL,NULL,70,55,11,1,/products-images/a/v/avara_broad_beans.jpg,1,0,0,0,avara.html,0,0
12,406,Batana (butternut squash) 250g,Batana (butternut squash) 250g,Batana (butternut squash) 250g,Batana (butternut squash),NULL,NULL,41.25,32.5,12,1,/products-images/b/a/batana.jpg,1,0,0,0,batana-butternut-squash.html,0,0
13,405,Bathala (sweet potato) 250g,Bathala (sweet potato) 250g,Bathala (sweet potato) 250g,Bathala (sweet potato),NULL,NULL,37.5,30,13,1,/products-images/s/w/sweet_potato.jpg,1,0,0,0,bathala-sweet-potato.html,0,0
14,404,Beetroot 250g,Beetroot 250g,Beetroot 250g,Beetroot,NULL,NULL,35,27.5,14,1,/products-images/b/e/beetroot.jpg,1,0,0,0,beetroot.html,0,0
15,406,Big Onion 250g,Big Onion 250g,Big Onion 250g,Big Onion 250g,NULL,NULL,21.5,24.75,15,1,/products-images/b/_/b_onion.jpg,1,1,0,0,b-onion-250g.html,1,27.5
16,405,Bitter gourd green 250g,Bitter gourd green 250g,Bitter gourd green 250g,Bitter gourd green,NULL,NULL,60,42.5,16,1,/products-images/b/i/bitter_gourd_green.jpg,1,0,0,0,bitter-gourd-green.html,0,0
17,405,Bitter gourd white 250g,Bitter gourd white 250g,Bitter gourd white 250g,Bitter gourd white,NULL,NULL,62.5,50,17,1,/products-images/b/i/bitter_gourd_white.jpg,1,0,0,0,bitter-gourd-white.html,0,0
18,405,Brinjal 250g,Brinjal 250g,Brinjal 250g,Brinjal,NULL,NULL,33.25,45,18,1,/products-images/b/r/brinjal.jpg,1,0,0,0,brinjal.html,1,50
